Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.dcache.overall_accesses::total	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total
bzip_CL064_L2Cache2_Assoc08_DCache064_Assoc02	1.679650	0.014798	52077014	0.282163	712341
bzip_CL064_L2Cache2_Assoc08_DCache064_Assoc04	1.663677	0.013334	52076603	0.315939	636180
bzip_CL064_L2Cache2_Assoc08_DCache064_Assoc08	1.657590	0.012735	52076557	0.332218	605003
bzip_CL064_L2Cache2_Assoc08_DCache064_Assoc16	1.654008	0.012401	52076340	0.342058	587602
bzip_CL064_L2Cache2_Assoc08_DCache128_Assoc02	1.650416	0.011747	52074996	0.363137	553499
bzip_CL064_L2Cache2_Assoc08_DCache128_Assoc04	1.642650	0.010952	52074644	0.392481	512114
bzip_CL064_L2Cache2_Assoc08_DCache128_Assoc08	1.636394	0.010276	52074647	0.421441	476919
bzip_CL064_L2Cache2_Assoc08_DCache128_Assoc16	1.634987	0.010119	52074592	0.428799	468735
bzip_CL064_L2Cache2_Assoc16_DCache064_Assoc02	1.681276	0.014799	52076946	0.283168	712343
bzip_CL064_L2Cache2_Assoc16_DCache064_Assoc04	1.665480	0.013336	52076661	0.317067	636180
bzip_CL064_L2Cache2_Assoc16_DCache064_Assoc08	1.659027	0.012736	52076485	0.333408	605001
bzip_CL064_L2Cache2_Assoc16_DCache064_Assoc16	1.655448	0.012402	52076379	0.343279	587603
bzip_CL064_L2Cache2_Assoc16_DCache128_Assoc02	1.651885	0.011748	52075064	0.364429	553502
bzip_CL064_L2Cache2_Assoc16_DCache128_Assoc04	1.644061	0.010953	52074618	0.393882	512113
bzip_CL064_L2Cache2_Assoc16_DCache128_Assoc08	1.637601	0.010277	52074713	0.422949	476918
bzip_CL064_L2Cache2_Assoc16_DCache128_Assoc16	1.636272	0.010120	52074433	0.430332	468736
bzip_CL064_L2Cache4_Assoc08_DCache064_Assoc02	1.653848	0.014796	52083816	0.251734	712343
bzip_CL064_L2Cache4_Assoc08_DCache064_Assoc04	1.637908	0.013332	52083466	0.281874	636175
bzip_CL064_L2Cache4_Assoc08_DCache064_Assoc08	1.631585	0.012733	52083232	0.296397	605002
bzip_CL064_L2Cache4_Assoc08_DCache064_Assoc16	1.628184	0.012399	52083153	0.305173	587604
bzip_CL064_L2Cache4_Assoc08_DCache128_Assoc02	1.624494	0.011745	52081715	0.323977	553500
bzip_CL064_L2Cache4_Assoc08_DCache128_Assoc04	1.616722	0.010950	52081314	0.350157	512116
bzip_CL064_L2Cache4_Assoc08_DCache128_Assoc08	1.610547	0.010274	52081264	0.376000	476917
bzip_CL064_L2Cache4_Assoc08_DCache128_Assoc16	1.609348	0.010117	52081214	0.382564	468735
bzip_CL064_L2Cache4_Assoc16_DCache064_Assoc02	1.653276	0.014795	52083740	0.252856	712345
bzip_CL064_L2Cache4_Assoc16_DCache064_Assoc04	1.637403	0.013332	52083422	0.283132	636174
bzip_CL064_L2Cache4_Assoc16_DCache064_Assoc08	1.631263	0.012732	52083230	0.297720	605001
bzip_CL064_L2Cache4_Assoc16_DCache064_Assoc16	1.627674	0.012398	52083180	0.306535	587604
bzip_CL064_L2Cache4_Assoc16_DCache128_Assoc02	1.623804	0.011744	52081767	0.325421	553502
bzip_CL064_L2Cache4_Assoc16_DCache128_Assoc04	1.616081	0.010950	52081273	0.351721	512114
bzip_CL064_L2Cache4_Assoc16_DCache128_Assoc08	1.609845	0.010274	52081287	0.377676	476919
bzip_CL064_L2Cache4_Assoc16_DCache128_Assoc16	1.608812	0.010116	52081289	0.384271	468734
bzip_CL128_L2Cache2_Assoc08_DCache064_Assoc02	1.666573	0.014359	52060570	0.173845	708701
bzip_CL128_L2Cache2_Assoc08_DCache064_Assoc04	1.649833	0.012826	52060260	0.195893	628926
bzip_CL128_L2Cache2_Assoc08_DCache064_Assoc08	1.643747	0.012206	52059992	0.206465	596721
bzip_CL128_L2Cache2_Assoc08_DCache064_Assoc16	1.640120	0.011834	52059956	0.213400	577325
bzip_CL128_L2Cache2_Assoc08_DCache128_Assoc02	1.634732	0.010771	52058733	0.236030	521971
bzip_CL128_L2Cache2_Assoc08_DCache128_Assoc04	1.626013	0.009841	52058294	0.260142	473591
bzip_CL128_L2Cache2_Assoc08_DCache128_Assoc08	1.617513	0.009068	52058055	0.284306	433339
bzip_CL128_L2Cache2_Assoc08_DCache128_Assoc16	1.615537	0.008858	52057911	0.291668	422398
bzip_CL128_L2Cache2_Assoc16_DCache064_Assoc02	1.667070	0.014359	52060647	0.173853	708696
bzip_CL128_L2Cache2_Assoc16_DCache064_Assoc04	1.650359	0.012826	52060140	0.195903	628930
bzip_CL128_L2Cache2_Assoc16_DCache064_Assoc08	1.644252	0.012207	52059919	0.206476	596724
bzip_CL128_L2Cache2_Assoc16_DCache064_Assoc16	1.640611	0.011834	52059892	0.213414	577325
bzip_CL128_L2Cache2_Assoc16_DCache128_Assoc02	1.635318	0.010771	52058798	0.236046	521971
bzip_CL128_L2Cache2_Assoc16_DCache128_Assoc04	1.626505	0.009841	52058289	0.260157	473595
bzip_CL128_L2Cache2_Assoc16_DCache128_Assoc08	1.618032	0.009068	52058034	0.284324	433340
bzip_CL128_L2Cache2_Assoc16_DCache128_Assoc16	1.616301	0.008858	52057883	0.291692	422394
bzip_CL128_L2Cache4_Assoc08_DCache064_Assoc02	1.648784	0.014349	52066023	0.154262	708708
bzip_CL128_L2Cache4_Assoc08_DCache064_Assoc04	1.632011	0.012816	52065612	0.173832	628925
bzip_CL128_L2Cache4_Assoc08_DCache064_Assoc08	1.625984	0.012196	52065445	0.183211	596727
bzip_CL128_L2Cache4_Assoc08_DCache064_Assoc16	1.622366	0.011824	52065314	0.189370	577321
bzip_CL128_L2Cache4_Assoc08_DCache128_Assoc02	1.616754	0.010761	52064209	0.209450	521972
bzip_CL128_L2Cache4_Assoc08_DCache128_Assoc04	1.608164	0.009832	52063711	0.230845	473594
bzip_CL128_L2Cache4_Assoc08_DCache128_Assoc08	1.599575	0.009058	52063396	0.252290	433338
bzip_CL128_L2Cache4_Assoc08_DCache128_Assoc16	1.597746	0.008848	52063295	0.258828	422393
bzip_CL128_L2Cache4_Assoc16_DCache064_Assoc02	1.647684	0.014356	52066020	0.153521	708704
bzip_CL128_L2Cache4_Assoc16_DCache064_Assoc04	1.630955	0.012823	52065656	0.172994	628931
bzip_CL128_L2Cache4_Assoc16_DCache064_Assoc08	1.624787	0.012204	52065419	0.182329	596729
bzip_CL128_L2Cache4_Assoc16_DCache064_Assoc16	1.621201	0.011831	52065356	0.188456	577327
bzip_CL128_L2Cache4_Assoc16_DCache128_Assoc02	1.615813	0.010768	52064193	0.208442	521973
bzip_CL128_L2Cache4_Assoc16_DCache128_Assoc04	1.607216	0.009839	52063722	0.229736	473592
bzip_CL128_L2Cache4_Assoc16_DCache128_Assoc08	1.598536	0.009066	52063429	0.251077	433338
bzip_CL128_L2Cache4_Assoc16_DCache128_Assoc16	1.596642	0.008855	52063361	0.257583	422392
