Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.dcache.overall_accesses::total	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total
hmmer_CL064_L1DSize064_Assoc02	1.187917	0.001637	43920897	0.077760	70563
hmmer_CL064_L1DSize064_Assoc04	1.187732	0.001587	43922723	0.080373	68269
hmmer_CL064_L1DSize064_Assoc08	1.187679	0.001629	43922195	0.078285	70090
hmmer_CL064_L1DSize064_Assoc16	1.187696	0.001663	43921675	0.076631	71603
hmmer_CL064_L1DSize128_Assoc02	1.186170	0.000701	43931048	0.179990	30485
hmmer_CL064_L1DSize128_Assoc04	1.185883	0.000669	43931926	0.191371	28672
hmmer_CL064_L1DSize128_Assoc08	1.185423	0.000550	43932757	0.234873	23353
hmmer_CL064_L1DSize128_Assoc16	1.185509	0.000575	43932585	0.225562	24317
hmmer_CL128_L1DSize064_Assoc02	1.181978	0.000881	43906931	0.072025	40944
hmmer_CL128_L1DSize064_Assoc04	1.181775	0.000853	43907689	0.074295	39693
hmmer_CL128_L1DSize064_Assoc08	1.181781	0.000877	43907357	0.072448	40705
hmmer_CL128_L1DSize064_Assoc16	1.181814	0.000899	43907062	0.070741	41687
hmmer_CL128_L1DSize128_Assoc02	1.180605	0.000388	43911760	0.146222	20168
hmmer_CL128_L1DSize128_Assoc04	1.180422	0.000368	43912279	0.154706	19062
hmmer_CL128_L1DSize128_Assoc08	1.180142	0.000301	43912754	0.183453	16075
hmmer_CL128_L1DSize128_Assoc16	1.180170	0.000312	43912667	0.178327	16537
