Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.dcache.overall_accesses::total	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total
libm_CL064_L2Size2_Assoc08_L1DSize064_Assoc02	3.493415	0.060972	48806657	0.999944	1488538
libm_CL064_L2Size2_Assoc08_L1DSize064_Assoc04	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc08_L1DSize064_Assoc08	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc08_L1DSize064_Assoc16	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc08_L1DSize128_Assoc02	3.493415	0.060972	48806657	0.999944	1488538
libm_CL064_L2Size2_Assoc08_L1DSize128_Assoc04	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc08_L1DSize128_Assoc08	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc08_L1DSize128_Assoc16	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc16_L1DSize064_Assoc02	3.493415	0.060972	48806657	0.999944	1488538
libm_CL064_L2Size2_Assoc16_L1DSize064_Assoc04	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc16_L1DSize064_Assoc08	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc16_L1DSize064_Assoc16	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc16_L1DSize128_Assoc02	3.493415	0.060972	48806657	0.999944	1488538
libm_CL064_L2Size2_Assoc16_L1DSize128_Assoc04	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc16_L1DSize128_Assoc08	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size2_Assoc16_L1DSize128_Assoc16	3.493415	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc08_L1DSize064_Assoc02	3.489639	0.060972	48806657	0.999944	1488538
libm_CL064_L2Size4_Assoc08_L1DSize064_Assoc04	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc08_L1DSize064_Assoc08	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc08_L1DSize064_Assoc16	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc08_L1DSize128_Assoc02	3.489639	0.060972	48806657	0.999944	1488538
libm_CL064_L2Size4_Assoc08_L1DSize128_Assoc04	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc08_L1DSize128_Assoc08	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc08_L1DSize128_Assoc16	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc16_L1DSize064_Assoc02	3.489639	0.060972	48806657	0.999944	1488538
libm_CL064_L2Size4_Assoc16_L1DSize064_Assoc04	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc16_L1DSize064_Assoc08	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc16_L1DSize064_Assoc16	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc16_L1DSize128_Assoc02	3.489639	0.060972	48806657	0.999944	1488538
libm_CL064_L2Size4_Assoc16_L1DSize128_Assoc04	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc16_L1DSize128_Assoc08	3.489639	0.060972	48806657	0.999945	1488537
libm_CL064_L2Size4_Assoc16_L1DSize128_Assoc16	3.489639	0.060972	48806657	0.999945	1488537
libm_CL128_L2Size2_Assoc08_L1DSize064_Assoc02	2.581299	0.030487	48806639	0.999799	744499
libm_CL128_L2Size2_Assoc08_L1DSize064_Assoc04	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc08_L1DSize064_Assoc08	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc08_L1DSize064_Assoc16	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc08_L1DSize128_Assoc02	2.581299	0.030487	48806639	0.999799	744499
libm_CL128_L2Size2_Assoc08_L1DSize128_Assoc04	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc08_L1DSize128_Assoc08	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc08_L1DSize128_Assoc16	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc16_L1DSize064_Assoc02	2.581299	0.030487	48806639	0.999799	744499
libm_CL128_L2Size2_Assoc16_L1DSize064_Assoc04	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc16_L1DSize064_Assoc08	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc16_L1DSize064_Assoc16	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc16_L1DSize128_Assoc02	2.581299	0.030487	48806639	0.999799	744499
libm_CL128_L2Size2_Assoc16_L1DSize128_Assoc04	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc16_L1DSize128_Assoc08	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size2_Assoc16_L1DSize128_Assoc16	2.581299	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc08_L1DSize064_Assoc02	2.576667	0.030487	48806639	0.999799	744499
libm_CL128_L2Size4_Assoc08_L1DSize064_Assoc04	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc08_L1DSize064_Assoc08	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc08_L1DSize064_Assoc16	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc08_L1DSize128_Assoc02	2.576667	0.030487	48806639	0.999799	744499
libm_CL128_L2Size4_Assoc08_L1DSize128_Assoc04	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc08_L1DSize128_Assoc08	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc08_L1DSize128_Assoc16	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc16_L1DSize064_Assoc02	2.576667	0.030487	48806639	0.999799	744499
libm_CL128_L2Size4_Assoc16_L1DSize064_Assoc04	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc16_L1DSize064_Assoc08	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc16_L1DSize064_Assoc16	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc16_L1DSize128_Assoc02	2.576667	0.030487	48806639	0.999799	744499
libm_CL128_L2Size4_Assoc16_L1DSize128_Assoc04	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc16_L1DSize128_Assoc08	2.576667	0.030487	48806639	0.999800	744498
libm_CL128_L2Size4_Assoc16_L1DSize128_Assoc16	2.576667	0.030487	48806639	0.999800	744498
