Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.dcache.overall_accesses::total	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total
sjeng_CL064_L2Size2_Assoc08_L1DSize064_Assoc02	10.270554	0.121831	86380797	0.999972	5264051
sjeng_CL064_L2Size2_Assoc08_L1DSize064_Assoc04	10.270520	0.121831	86380799	0.999978	5264020
sjeng_CL064_L2Size2_Assoc08_L1DSize064_Assoc08	10.270355	0.121831	86380799	0.999978	5264021
sjeng_CL064_L2Size2_Assoc08_L1DSize064_Assoc16	10.270355	0.121831	86380799	0.999978	5264021
sjeng_CL064_L2Size2_Assoc08_L1DSize128_Assoc02	10.270520	0.121831	86380800	0.999976	5264027
sjeng_CL064_L2Size2_Assoc08_L1DSize128_Assoc04	10.270716	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size2_Assoc08_L1DSize128_Assoc08	10.270520	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size2_Assoc08_L1DSize128_Assoc16	10.270481	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size2_Assoc16_L1DSize064_Assoc02	10.270890	0.121831	86380797	0.999972	5264051
sjeng_CL064_L2Size2_Assoc16_L1DSize064_Assoc04	10.270672	0.121831	86380799	0.999978	5264020
sjeng_CL064_L2Size2_Assoc16_L1DSize064_Assoc08	10.270860	0.121831	86380799	0.999978	5264021
sjeng_CL064_L2Size2_Assoc16_L1DSize064_Assoc16	10.270885	0.121831	86380799	0.999978	5264021
sjeng_CL064_L2Size2_Assoc16_L1DSize128_Assoc02	10.270890	0.121831	86380800	0.999976	5264027
sjeng_CL064_L2Size2_Assoc16_L1DSize128_Assoc04	10.270812	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size2_Assoc16_L1DSize128_Assoc08	10.270910	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size2_Assoc16_L1DSize128_Assoc16	10.270950	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size4_Assoc08_L1DSize064_Assoc02	10.265417	0.121831	86380797	0.999972	5264051
sjeng_CL064_L2Size4_Assoc08_L1DSize064_Assoc04	10.265417	0.121831	86380799	0.999978	5264020
sjeng_CL064_L2Size4_Assoc08_L1DSize064_Assoc08	10.265417	0.121831	86380799	0.999978	5264021
sjeng_CL064_L2Size4_Assoc08_L1DSize064_Assoc16	10.265417	0.121831	86380799	0.999978	5264021
sjeng_CL064_L2Size4_Assoc08_L1DSize128_Assoc02	10.265530	0.121831	86380800	0.999976	5264027
sjeng_CL064_L2Size4_Assoc08_L1DSize128_Assoc04	10.265417	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size4_Assoc08_L1DSize128_Assoc08	10.265450	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size4_Assoc08_L1DSize128_Assoc16	10.265530	0.121831	86380799	0.999979	5264013
sjeng_CL064_L2Size4_Assoc16_L1DSize064_Assoc02	10.265417	0.121831	86380797	0.999972	5264051
sjeng_CL064_L2Size4_Assoc16_L1DSize064_Assoc04	10.265417	0.121831	86380799	0.999978	5264020
sjeng_CL064_L2Size4_Assoc16_L1DSize064_Assoc08	10.265417	0.121831	86380799	0.999978	5264021
sjeng_CL064_L2Size4_Assoc16_L1DSize064_Assoc16	10.265417	0.121831	86380799	0.999978	5264021
sjeng_CL064_L2Size4_Assoc16_L1DSize128_Assoc02	10.265530	0.121831	86380800	0.999976	5264027
sjeng_CL064_L2Size4_Assoc16_L1DSize128_Assoc04	10.265417	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size4_Assoc16_L1DSize128_Assoc08	10.265450	0.121831	86380800	0.999979	5264013
sjeng_CL064_L2Size4_Assoc16_L1DSize128_Assoc16	10.265530	0.121831	86380799	0.999979	5264013
sjeng_CL128_L2Size2_Assoc08_L1DSize064_Assoc02	6.799471	0.060922	86380771	0.999825	2632665
sjeng_CL128_L2Size2_Assoc08_L1DSize064_Assoc04	6.799536	0.060918	86380773	0.999949	2632338
sjeng_CL128_L2Size2_Assoc08_L1DSize064_Assoc08	6.799674	0.060918	86380774	0.999949	2632338
sjeng_CL128_L2Size2_Assoc08_L1DSize064_Assoc16	6.799674	0.060918	86380774	0.999948	2632339
sjeng_CL128_L2Size2_Assoc08_L1DSize128_Assoc02	6.799362	0.060921	86380775	0.999856	2632582
sjeng_CL128_L2Size2_Assoc08_L1DSize128_Assoc04	6.799362	0.060918	86380775	0.999952	2632329
sjeng_CL128_L2Size2_Assoc08_L1DSize128_Assoc08	6.799609	0.060918	86380774	0.999952	2632330
sjeng_CL128_L2Size2_Assoc08_L1DSize128_Assoc16	6.799142	0.060918	86380774	0.999952	2632329
sjeng_CL128_L2Size2_Assoc16_L1DSize064_Assoc02	6.799653	0.060922	86380771	0.999825	2632665
