File Name	Peak Power	Total Area	Data Cache Area
CL064_L2_S2048kB_A08_L1D_S032kB_A01_L1I_S032kB_A02	2.96432 W	13.2870 mm^2	0.74975 mm^2
CL064_L2_S2048kB_A08_L1D_S032kB_A02_L1I_S032kB_A02	2.98366 W	13.3235 mm^2	0.78296 mm^2
CL064_L2_S2048kB_A08_L1D_S032kB_A04_L1I_S032kB_A02	3.39701 W	14.1632 mm^2	1.54632 mm^2
CL064_L2_S2048kB_A08_L1D_S032kB_A08_L1I_S032kB_A02	3.68988 W	15.0939 mm^2 	2.39242 mm^2
CL064_L2_S2048kB_A08_L1D_S032kB_A16_L1I_S032kB_A02	4.23186 W	16.5311 mm^2	3.69894 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A01_L1I_S032kB_A02	3.86087 W	15.9147 mm^2	3.13861 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	3.86567 W 	15.9545 mm^2	3.17478 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A04_L1I_S032kB_A02	3.59803 W 	14.8180 mm^2	2.14152 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A08_L1I_S032kB_A02	3.84194 W	15.1186 mm^2	2.41485 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A16_L1I_S032kB_A02	4.40779 W	16.8189 mm^2	3.96056 mm^2
CL064_L2_S2048kB_A08_L1D_S128kB_A01_L1I_S032kB_A02	4.35118 W 	18.4762 mm^2	5.46723 mm^2
CL064_L2_S2048kB_A08_L1D_S128kB_A02_L1I_S032kB_A02	4.36266 W	18.6094 mm^2	5.58831 mm^2
CL064_L2_S2048kB_A08_L1D_S128kB_A04_L1I_S032kB_A02	4.14289 W	19.7282 mm^2	6.60537 mm^2
CL064_L2_S2048kB_A08_L1D_S128kB_A08_L1I_S032kB_A02	4.14097 W	16.3691 mm^2	3.55162 mm^2
CL064_L2_S2048kB_A08_L1D_S128kB_A16_L1I_S032kB_A02	4.70594 W	17.1263 mm^2	4.24003 mm^2
CL128_L2_S2048kB_A08_L1D_S032kB_A01_L1I_S032kB_A02	8.12311 W	48.4981 mm^2	2.12639 mm^2
CL128_L2_S2048kB_A08_L1D_S032kB_A02_L1I_S032kB_A02	8.66801 W	49.8580 mm^2	3.36266 mm^2
CL128_L2_S2048kB_A08_L1D_S032kB_A04_L1I_S032kB_A02	9.24471 W	51.2755 mm^2	4.65124 mm^2
CL128_L2_S2048kB_A08_L1D_S032kB_A08_L1I_S032kB_A02	10.4367 W	54.4695 mm^2	7.55489 mm^2
CL128_L2_S2048kB_A08_L1D_S032kB_A16_L1I_S032kB_A02	12.4406 W	59.0110 mm^2	11.6835 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A01_L1I_S032kB_A02	9.12162 W	51.2294 mm^2	4.60934 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	9.22886 W	51.1994 mm^2	4.58209 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A04_L1I_S032kB_A02	9.27390 W	51.1498 mm^2	4.53701 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A08_L1I_S032kB_A02	10.3495 W	54.3632 mm^2	7.45829 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A16_L1I_S032kB_A02	12.2905 W 	59.4991 mm^2	12.1273 mm^2
CL128_L2_S2048kB_A08_L1D_S128kB_A01_L1I_S032kB_A02	10.1107 W	54.1940 mm^2	7.30448 mm^2
CL128_L2_S2048kB_A08_L1D_S128kB_A02_L1I_S032kB_A02	10.2015 W	53.6814 mm^2	6.83848 mm^2
CL128_L2_S2048kB_A08_L1D_S128kB_A04_L1I_S032kB_A02	10.1438 W 	53.7288 mm^2 	6.88154 mm^2
CL128_L2_S2048kB_A08_L1D_S128kB_A08_L1I_S032kB_A02	10.3969 W	53.9418 mm^2	7.07518 mm^2
CL128_L2_S2048kB_A08_L1D_S128kB_A16_L1I_S032kB_A02	12.4536 W 	59.5330 mm^2	12.1581 mm^2
