File Name	Peak Power	Total Area	Instruction Cache Area
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A01	3.83552 W	15.9213 mm^2	0.59599 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	3.86567 W	15.9545 mm^2	0.62920 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A04	4.27110 W 	16.7179 mm^2	1.39256 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A08	4.62657 W   	17.5640 mm^2	2.23866 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A16	5.28460 W	18.8705 mm^2	3.54518 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A01	4.85961 W 	18.3102 mm^2	2.98484 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A02	4.86500 W	18.3463 mm^2	3.02102 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A04	4.56180 W	17.3131 mm^2	1.98776 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A08	4.71408 W	17.5864 mm^2	2.26109 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A16	5.38355 W	19.1321 mm^2	3.80680 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A01	5.39255 W	20.6388 mm^2	5.31347 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A02	5.40494 W 	20.7599 mm^2	5.43455 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A04	5.19611 W 	21.7769 mm^2	6.45161 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A08	5.21960 W	18.7232 mm^2	3.39786 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A16	5.56584 W	19.4116 mm^2	4.08627 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A01	8.61201 W	49.9631 mm^2	1.66028 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	9.22886 W	51.1994 mm^2	2.89656 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A04	9.93679 W	52.4880 mm^2	4.18514 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A08	11.4077 W	55.3916 mm^2	7.08878 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A16	13.5379 W	59.5203 mm^2	11.2174 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A01	9.81632 W	52.4461 mm^2	4.14324 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A02	9.91251 W 	52.4188 mm^2 	4.11598 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A04	9.92124 W	52.3737 mm^2	4.07091 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A08	11.2470 W	55.2950 mm^2	6.99219 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S064kB_A16	13.5428 W	59.9640 mm^2	11.6612 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A01	11.0269 W	55.1412 mm^2 	6.83838 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A02	11.0655 W	54.6752 mm^2 	6.37238 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A04	11.0363 W	54.7183 mm^2	6.41543 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A08	11.2020 W	54.9119 mm^2	6.60907 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S128kB_A16	13.5295 W	59.9948 mm^2	11.6920 mm^2
