File Name	Peak Power	Total Area	L2 Cache Area
CL064_L2_S0512kB_A01_L1D_S064kB_A02_L1I_S032kB_A02	3.68937 W	11.0405 mm^2	2.08972 mm^2 
CL064_L2_S0512kB_A02_L1D_S064kB_A02_L1I_S032kB_A02	3.68941 W	11.0395 mm^2	2.08880 mm^2
CL064_L2_S0512kB_A04_L1D_S064kB_A02_L1I_S032kB_A02	3.68968 W	11.0382 mm^2	2.08751 mm^2
CL064_L2_S0512kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	3.69106 W	11.0763 mm^2	2.12555 mm^2
CL064_L2_S0512kB_A16_L1D_S064kB_A02_L1I_S032kB_A02	3.69225 W	11.0549 mm^2	2.10421 mm^2
CL064_L2_S1024kB_A01_L1D_S064kB_A02_L1I_S032kB_A02	3.75808 W	13.1251 mm^2	4.17438 mm^2
CL064_L2_S1024kB_A02_L1D_S064kB_A02_L1I_S032kB_A02	3.75820 W 	13.1219 mm^2	4.17119 mm^2
CL064_L2_S1024kB_A04_L1D_S064kB_A02_L1I_S032kB_A02	3.75863 W	13.1193 mm^2	4.16852 mm^2
CL064_L2_S1024kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	3.75956 W	13.1165 mm^2	4.16580 mm^2
CL064_L2_S1024kB_A16_L1D_S064kB_A02_L1I_S032kB_A02	3.76140 W  	13.1737 mm^2	4.22300 mm^2
CL064_L2_S2048kB_A01_L1D_S064kB_A02_L1I_S032kB_A02	3.86332 W	16.4281 mm^2	7.47733 mm^2
CL064_L2_S2048kB_A02_L1D_S064kB_A02_L1I_S032kB_A02	3.86492 W 	16.6416 mm^2	7.69091 mm^2
CL064_L2_S2048kB_A04_L1D_S064kB_A02_L1I_S032kB_A02	3.86503 W	16.6366 mm^2 	7.68591 mm^2
CL064_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	3.86567 W	15.9545 mm^2	7.00380 mm^2
CL064_L2_S2048kB_A16_L1D_S064kB_A02_L1I_S032kB_A02	3.86691 W	16.6283 mm^2	7.67752 mm^2
CL064_L2_S4096kB_A01_L1D_S064kB_A02_L1I_S032kB_A02	3.98800 W 	21.8321 mm^2	12.8813 mm^2
CL064_L2_S4096kB_A02_L1D_S064kB_A02_L1I_S032kB_A02	3.98792 W	21.8281 mm^2	12.8774 mm^2
CL064_L2_S4096kB_A04_L1D_S064kB_A02_L1I_S032kB_A02	3.98951 W	22.1167 mm^2	13.1659 mm^2
CL064_L2_S4096kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	3.99078 W 	22.2732 mm^2	13.3224 mm^2
CL064_L2_S4096kB_A16_L1D_S064kB_A02_L1I_S032kB_A02	3.99268 W	22.1039 mm^2	13.1532 mm^2
CL128_L2_S0512kB_A01_L1D_S064kB_A02_L1I_S032kB_A02	8.70524 W 	28.7526 mm^2	15.9865 mm^2
CL128_L2_S0512kB_A02_L1D_S064kB_A02_L1I_S032kB_A02	8.70539 W	28.7332 mm^2	15.9671 mm^2
CL128_L2_S0512kB_A04_L1D_S064kB_A02_L1I_S032kB_A02	8.70636 W	28.7138 mm^2	15.9477 mm^2
CL128_L2_S0512kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	8.71127 W	28.7612 mm^2	15.9951 mm^2
CL128_L2_S0512kB_A16_L1D_S064kB_A02_L1I_S032kB_A02	8.72888 W	28.7418 mm^2	15.9756 mm^2
CL128_L2_S1024kB_A01_L1D_S064kB_A02_L1I_S032kB_A02	8.79113 W	31.2664 mm^2	18.5003 mm^2
CL128_L2_S1024kB_A02_L1D_S064kB_A02_L1I_S032kB_A02	8.79118 W  	31.2466 mm^2	18.4805 mm^2
CL128_L2_S1024kB_A04_L1D_S064kB_A02_L1I_S032kB_A02	8.79208 W	31.2268 mm^2	18.4607 mm^2
CL128_L2_S1024kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	8.79613 W	31.2070 mm^2	18.4409 mm^2
CL128_L2_S1024kB_A16_L1D_S064kB_A02_L1I_S032kB_A02	8.81466 W 	31.2606 mm^2	18.4945 mm^2
CL128_L2_S2048kB_A01_L1D_S064kB_A02_L1I_S032kB_A02	9.22119 W	50.6940 mm^2	37.9279 mm^2
CL128_L2_S2048kB_A02_L1D_S064kB_A02_L1I_S032kB_A02	9.22410 W	51.3372 mm^2	38.5711 mm^2
CL128_L2_S2048kB_A04_L1D_S064kB_A02_L1I_S032kB_A02	9.22489 W	51.2683 mm^2	38.5022 mm^2
CL128_L2_S2048kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	9.22886 W	51.1994 mm^2	38.4333 mm^2
CL128_L2_S2048kB_A16_L1D_S064kB_A02_L1I_S032kB_A02	8.30677 W	22.3240 mm^2	9.55784 mm^2
CL128_L2_S4096kB_A01_L1D_S064kB_A02_L1I_S032kB_A02	8.55835 W	30.9484 mm^2	18.1823 mm^2
CL128_L2_S4096kB_A02_L1D_S064kB_A02_L1I_S032kB_A02	8.55884 W	31.0336 mm^2	18.2675 mm^2
CL128_L2_S4096kB_A04_L1D_S064kB_A02_L1I_S032kB_A02	8.56006 W	31.3650 mm^2	18.5988 mm^2
CL128_L2_S4096kB_A08_L1D_S064kB_A02_L1I_S032kB_A02	8.56070 W	30.0028 mm^2	17.2367 mm^2
CL128_L2_S4096kB_A16_L1D_S064kB_A02_L1I_S032kB_A02	8.56194 W	31.3482 mm^2	18.5821 mm^2 
